,precipitation (mm),precipitation (mm),precipitation (mm),precipitation (mm)
,urn:ngsi-ld:Device:family-household,urn:ngsi-ld:Device:retired-household,urn:ngsi-ld:Device:single-household,urn:ngsi-ld:Device:atypical-household
2021-05-26 00:00:00,0.0,0.0,0.0,0.0
2021-05-26 01:00:00,0.0,0.0,0.0,0.0
2021-05-26 02:00:00,0.0,0.0,0.0,0.0
2021-05-26 03:00:00,0.0,0.0,0.0,0.0
2021-05-26 04:00:00,0.0,0.0,0.0,0.0
2021-05-26 05:00:00,0.0,0.0,0.0,0.0
2021-05-26 06:00:00,0.0,0.0,0.0,0.0
2021-05-26 07:00:00,0.0,0.0,0.0,0.0
2021-05-26 08:00:00,0.0,0.0,0.0,0.0
2021-05-26 09:00:00,0.0,0.0,0.0,0.0
2021-05-26 10:00:00,0.0,0.0,0.0,0.0
2021-05-26 11:00:00,0.0,0.0,0.0,0.0
2021-05-26 12:00:00,0.0,0.0,0.0,0.0
2021-05-26 13:00:00,0.0,0.0,0.0,0.0
2021-05-26 14:00:00,0.0,0.0,0.0,0.0
2021-05-26 15:00:00,0.0,0.0,0.0,0.0
2021-05-26 16:00:00,0.0,0.0,0.0,0.0
2021-05-26 17:00:00,0.0,0.0,0.0,0.0
2021-05-26 18:00:00,0.0,0.0,0.0,0.0
2021-05-26 19:00:00,0.0,0.0,0.0,0.0
2021-05-26 20:00:00,0.0,0.0,0.0,0.0
2021-05-26 21:00:00,0.0,0.0,0.0,0.0
2021-05-26 22:00:00,0.0,0.0,0.0,0.0
2021-05-26 23:00:00,0.0,0.0,0.0,0.0
2021-05-27 00:00:00,0.0,0.0,0.0,0.0
2021-05-27 01:00:00,0.0,0.0,0.0,0.0
2021-05-27 02:00:00,0.0,0.0,0.0,0.0
2021-05-27 03:00:00,0.0,0.0,0.0,0.0
2021-05-27 04:00:00,0.0,0.0,0.0,0.0
2021-05-27 05:00:00,0.0,0.0,0.0,0.0
2021-05-27 06:00:00,0.0,0.0,0.0,0.0
2021-05-27 07:00:00,0.0,0.0,0.0,0.0
2021-05-27 08:00:00,0.0,0.0,0.0,0.0
2021-05-27 09:00:00,0.0,0.0,0.0,0.0
2021-05-27 10:00:00,0.0,0.0,0.0,0.0
2021-05-27 11:00:00,0.0,0.0,0.0,0.0
2021-05-27 12:00:00,0.0,0.0,0.0,0.0
2021-05-27 13:00:00,0.0,1.3697908805147594,0.0,0.0
2021-05-27 14:00:00,0.0,0.9841261210752454,0.0,0.0
2021-05-27 15:00:00,0.0,0.0,0.0,0.0
2021-05-27 16:00:00,0.0,0.0,0.0,0.0
2021-05-27 17:00:00,0.0,1.075728908213248,0.0,0.0
2021-05-27 18:00:00,0.0,0.3399704671933314,0.0,0.0
2021-05-27 19:00:00,0.0,0.8872718163883283,0.0,0.0
2021-05-27 20:00:00,0.0,0.09574061335812824,0.0,0.0
2021-05-27 21:00:00,0.0,0.34302711428436483,0.0,0.0
2021-05-27 22:00:00,0.0,0.26918843122303665,0.0,0.0
2021-05-27 23:00:00,0.0,2.6922908491126365,0.0,0.0
2021-05-28 00:00:00,0.2312777590647147,0.0,0.0,0.0
2021-05-28 01:00:00,1.0059647338643982,0.0,0.0,0.0
2021-05-28 02:00:00,0.0,0.0,0.0,0.0
2021-05-28 03:00:00,0.0,0.0,0.0,0.0
2021-05-28 04:00:00,0.0,0.0,0.0,0.0
2021-05-28 05:00:00,0.0,0.0,0.0,0.0
2021-05-28 06:00:00,0.0,0.0,0.0,0.0
2021-05-28 07:00:00,0.0,0.0,0.0,0.0
2021-05-28 08:00:00,0.0,0.0,0.0,0.0
2021-05-28 09:00:00,0.0,0.0,0.0,0.0
2021-05-28 10:00:00,0.0,0.0,0.0,0.0
2021-05-28 11:00:00,0.0,0.0,0.0,0.0
2021-05-28 12:00:00,0.0,0.0,0.0,0.0
2021-05-28 13:00:00,0.0,0.0,0.0,0.0
2021-05-28 14:00:00,0.0,0.0,0.0,0.0
2021-05-28 15:00:00,0.0,0.0,0.0,0.0
2021-05-28 16:00:00,0.0,0.0,0.0,0.0
2021-05-28 17:00:00,0.0,0.0,0.0,0.0
2021-05-28 18:00:00,0.0,0.0,0.0,0.0
2021-05-28 19:00:00,0.0,0.0,0.0,0.0
2021-05-28 20:00:00,0.0,0.0,0.0,0.0
2021-05-28 21:00:00,0.0,0.0,0.0,0.0
2021-05-28 22:00:00,0.0,0.0,0.0,0.0
2021-05-28 23:00:00,0.0,0.0,0.0,0.0
2021-05-29 00:00:00,0.0,0.0,0.0,0.0
2021-05-29 01:00:00,0.0,0.0,0.0,0.0
2021-05-29 02:00:00,0.0,0.0,0.0,0.0
2021-05-29 03:00:00,0.0,0.0,0.0,0.0
2021-05-29 04:00:00,0.0,0.0,0.0,0.0
2021-05-29 05:00:00,0.0,0.0,0.0,0.0
2021-05-29 06:00:00,0.0,0.0,0.0,0.0
2021-05-29 07:00:00,0.0,0.0,0.0,0.0
2021-05-29 08:00:00,0.0,0.0,0.0,0.0
2021-05-29 09:00:00,0.0,0.0,0.0,0.0
2021-05-29 10:00:00,0.0,0.0,0.0,0.0
2021-05-29 11:00:00,0.0,0.0,0.0,0.0
2021-05-29 12:00:00,0.0,0.0,0.0,0.0
2021-05-29 13:00:00,0.0,0.0,0.0,0.0
2021-05-29 14:00:00,0.0,0.0,0.0,0.0
2021-05-29 15:00:00,0.0,0.0,0.0,0.0
2021-05-29 16:00:00,0.0,0.0,0.0,0.0
2021-05-29 17:00:00,0.0,0.0,0.0,0.0
2021-05-29 18:00:00,0.0,0.0,0.0,0.0
2021-05-29 19:00:00,0.0,0.0,0.0,0.0
2021-05-29 20:00:00,0.0,0.0,0.0,0.0
2021-05-29 21:00:00,0.0,0.0,0.0,0.0
2021-05-29 22:00:00,0.0,0.0,0.0,0.0
2021-05-29 23:00:00,0.0,0.0,0.0,0.0
2021-05-30 00:00:00,0.0,0.0,0.0,0.0
2021-05-30 01:00:00,0.0,0.0,0.0,0.0
2021-05-30 02:00:00,0.0,0.0,0.0,0.0
2021-05-30 03:00:00,0.0,0.0,0.0,0.0
2021-05-30 04:00:00,0.0,0.0,0.0,0.0
2021-05-30 05:00:00,0.0,0.0,0.0,0.0
2021-05-30 06:00:00,0.0,0.0,0.0,0.0
2021-05-30 07:00:00,0.0,0.0,0.0,0.0
2021-05-30 08:00:00,0.0,0.0,0.0,0.0
2021-05-30 09:00:00,0.0,0.0,0.0,0.0
2021-05-30 10:00:00,0.0,0.0,0.0,0.0
2021-05-30 11:00:00,0.0,0.0,0.0,0.0
2021-05-30 12:00:00,0.0,0.0,0.0,0.0
2021-05-30 13:00:00,0.0,0.0,0.0,0.0
2021-05-30 14:00:00,0.0,0.0,0.0,0.0
2021-05-30 15:00:00,0.0,0.0,0.0,0.0
2021-05-30 16:00:00,0.0,0.0,0.0,0.0
2021-05-30 17:00:00,0.0,0.0,0.0,0.0
2021-05-30 18:00:00,0.0,0.0,0.0,0.0
2021-05-30 19:00:00,0.0,0.0,0.0,0.0
2021-05-30 20:00:00,0.0,0.0,0.0,0.0
2021-05-30 21:00:00,0.0,0.0,0.0,0.0
2021-05-30 22:00:00,0.0,0.0,0.0,0.0
2021-05-30 23:00:00,0.0,0.0,0.0,0.0
2021-05-31 00:00:00,0.0,0.0,0.0,0.0
2021-05-31 01:00:00,0.0,0.0,0.0,0.0
2021-05-31 02:00:00,0.0,0.0,0.0,0.0
2021-05-31 03:00:00,0.0,0.0,0.0,0.0
2021-05-31 04:00:00,0.0,0.0,0.0,0.0
2021-05-31 05:00:00,0.0,0.0,0.0,0.0
2021-05-31 06:00:00,0.0,0.0,0.0,0.0
2021-05-31 07:00:00,0.0,0.0,0.0,0.0
2021-05-31 08:00:00,0.0,0.0,0.0,0.0
2021-05-31 09:00:00,0.0,0.0,0.0,0.0
2021-05-31 10:00:00,0.0,0.0,0.0,0.0
2021-05-31 11:00:00,0.0,0.0,0.0,0.0
2021-05-31 12:00:00,0.0,0.0,0.0,0.0
2021-05-31 13:00:00,0.0,0.0,0.0,0.0
2021-05-31 14:00:00,0.0,0.0,0.0,0.0
2021-05-31 15:00:00,0.0,0.0,0.0,0.0
2021-05-31 16:00:00,0.0,0.0,0.0,0.0
2021-05-31 17:00:00,0.0,0.0,0.0,0.0
2021-05-31 18:00:00,0.0,0.0,0.0,0.0
2021-05-31 19:00:00,0.0,0.0,0.0,0.0
2021-05-31 20:00:00,0.0,0.0,0.0,0.0
2021-05-31 21:00:00,0.0,0.0,0.0,0.0
2021-05-31 22:00:00,0.0,0.0,0.0,0.0
2021-05-31 23:00:00,0.0,0.0,0.0,0.0
2021-06-01 00:00:00,0.0,0.0,0.0,0.0
2021-06-01 01:00:00,0.0,0.0,0.0,0.0
2021-06-01 02:00:00,0.0,0.0,0.0,0.0
2021-06-01 03:00:00,0.0,0.0,0.0,0.7439917378466137
2021-06-01 04:00:00,0.0,0.0,0.0,1.3604402894727272
2021-06-01 05:00:00,0.0,0.0,0.0,0.5563018808766457
2021-06-01 06:00:00,0.0,0.0,0.0,0.0
2021-06-01 07:00:00,0.0,0.0,0.0,0.0
2021-06-01 08:00:00,0.0,0.0,0.0,0.0
2021-06-01 09:00:00,0.0,0.0,0.0,0.0
2021-06-01 10:00:00,0.0,0.0,0.0,0.0
2021-06-01 11:00:00,0.0,0.0,0.0,0.0
2021-06-01 12:00:00,0.0,0.0,0.0,0.0
2021-06-01 13:00:00,0.0,0.0,0.0,0.0
2021-06-01 14:00:00,0.0,0.0,0.0,0.0
2021-06-01 15:00:00,0.0,0.0,0.0,0.0
